Cluster_code,URBAN_RURAC254,fidN200_A,hv270_1_poorest,hv270_2_poor,hv270_3_middle,hv270_4_rich,hv270_5_richest,household_total,mean_score270_comb_R_U,mean270_R_U_separated,median_score_comb_R_U_270,median270a_U_R_separated
TZ207,R,46048,1.00,10.00,10.00,1.00,0.00,22.00,3.00,3.00,3.00,3.00
TZ208,U,46049,0.00,0.00,0.00,5.00,15.00,20.00,5.00,3.00,5.00,3.00
TZ209,R,46050,0.00,2.00,13.00,5.00,0.00,20.00,3.00,4.00,3.00,4.00
TZ210,R,46051,0.00,1.00,13.00,8.00,0.00,22.00,3.00,4.00,3.00,4.00
TZ211,R,46052,0.00,7.00,10.00,4.00,0.00,21.00,3.00,4.00,3.00,4.00
TZ212,U,46053,0.00,0.00,0.00,7.00,13.00,20.00,5.00,3.00,5.00,3.00
TZ213,U,46054,0.00,0.00,1.00,14.00,7.00,22.00,4.00,2.00,4.00,2.00
TZ214,U,46055,0.00,0.00,0.00,5.00,16.00,21.00,5.00,3.00,5.00,3.00
TZ215,R,46056,0.00,0.00,5.00,12.00,4.00,21.00,4.00,5.00,4.00,5.00
TZ216,U,46057,11.00,2.00,1.00,6.00,1.00,21.00,2.00,1.00,1.00,1.00
TZ217,R,46058,1.00,5.00,10.00,6.00,0.00,22.00,3.00,4.00,3.00,4.00
TZ218,R,46059,0.00,4.00,7.00,9.00,1.00,21.00,3.00,4.00,3.00,4.00
TZ219,R,46060,1.00,7.00,13.00,1.00,0.00,22.00,3.00,3.00,3.00,3.00
TZ220,R,46061,4.00,9.00,5.00,0.00,0.00,18.00,2.00,3.00,2.00,3.00
TZ221,R,46062,1.00,1.00,12.00,7.00,0.00,21.00,3.00,4.00,3.00,4.00
TZ222,R,46063,8.00,6.00,7.00,1.00,0.00,22.00,2.00,2.00,2.00,2.00
TZ223,R,46064,2.00,5.00,7.00,6.00,1.00,21.00,3.00,4.00,3.00,4.00
TZ224,R,46065,7.00,7.00,6.00,0.00,1.00,21.00,2.00,3.00,2.00,3.00
TZ225,R,46066,1.00,4.00,9.00,8.00,0.00,22.00,3.00,4.00,3.00,4.00
TZ226,R,46067,2.00,4.00,6.00,8.00,1.00,21.00,3.00,4.00,3.00,4.00
TZ227,U,46068,0.00,0.00,0.00,14.00,8.00,22.00,4.00,2.00,4.00,2.00
TZ228,R,46069,2.00,4.00,8.00,7.00,0.00,21.00,3.00,4.00,3.00,4.00
TZ229,R,46070,2.00,3.00,13.00,2.00,0.00,20.00,3.00,3.00,3.00,4.00
TZ230,R,46071,5.00,6.00,7.00,2.00,0.00,20.00,2.00,3.00,2.00,3.00
